echantillons;tick_sex;lab_process;season;month;date;analyse_type;monthly_temp
03T34;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T35;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T36;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T37;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T38;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T39;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T3;F;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T40;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T41;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T42;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T43;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T44;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T45;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T46;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T47;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T48;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T49;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T4;F;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T50;F;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T51;F;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T52;F;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T53;F;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T54;F;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T55;F;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T56;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T57;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T58;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T59;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T5;F;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T60;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T61;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T62;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T63;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T64;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T65;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T66;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T67;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T68;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T69;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T6;F;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T70;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T71;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T72;F;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T73;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T74;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T75;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T76;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T77;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T78;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T79;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T7;F;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T80;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T81;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T82;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T83;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T84;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T85;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T86;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T87;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T88;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T89;M;decoupe;winter;march;31/03/2022;temporel2022;8.326478495
03T8;F;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T9;F;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
04T10;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T11;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T12;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T13;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T14;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T15;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T16;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T17;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T18;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T19;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T1;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T20;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T21;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T22;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T23;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T24;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T25;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T26;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T27;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T28;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T29;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T2;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T30;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T31;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T32;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T33;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T34;M;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T3;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T4;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T5;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T6;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T7;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T8;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
04T9;F;decoupe;spring;april;28/04/2022;temporel2022;11.55847222
05T10;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T11;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T12;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T13;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T14;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T15;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T16;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T17;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T18;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T19;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T1;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T20;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T21;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T22;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T23;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T24;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T25;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T26;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T27;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T28;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T29;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T2;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T30;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T31;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T32;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T33;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T34;M;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T3;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T4;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T5;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T6;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T7;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T8;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
05T9;F;decoupe;spring;may;25/05/2022;temporel2022;17.96303763
06T10;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T11;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T12;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T13;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T14;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T15;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T16;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T17;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T18;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T19;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T1;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T20;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T21;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T22;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T23;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T24;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T25;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T26;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T27;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T28;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T29;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T2;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T30;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T31;M;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T3;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T4;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T5;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T6;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T7;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T8;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
06T9;F;decoupe;summer;june;23/06/2022;temporel2022;22.34111111
07T10;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T11;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T12;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T13;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T14;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T15;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T16;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T17;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T18;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T19;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T1;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T20;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T21;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T22;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T23;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T24;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T25;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T26;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T27;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T28;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T29;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T2;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T30;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T31;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T32;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T33;M;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T3;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T4;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T5;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T6;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T7;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T8;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
07T9;F;decoupe;summer;july;21/07/2022;temporel2022;25.52768817
08T10;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T11;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T12;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T13;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T14;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T15;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T16;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T17;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T18;M;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T19;M;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T1;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T20;M;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T21;M;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T22;M;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T23;M;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T24;M;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T25;M;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T26;M;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T27;M;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T28;M;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T2;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T3;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T4;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T5;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T6;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T7;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T8;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
08T9;F;decoupe;summer;august;19/08/2022;temporel2022;24.27997312
09T10;F;decoupe;summer;september;15/09/2022;temporel2022;17.79194444
09T13;M;decoupe;summer;september;15/09/2022;temporel2022;17.79194444
09T1;F;decoupe;summer;september;15/09/2022;temporel2022;17.79194444
09T2;F;decoupe;summer;september;15/09/2022;temporel2022;17.79194444
09T3;F;decoupe;summer;september;15/09/2022;temporel2022;17.79194444
09T4;F;decoupe;summer;september;15/09/2022;temporel2022;17.79194444
09T5;F;decoupe;summer;september;15/09/2022;temporel2022;17.79194444
09T6;F;decoupe;summer;september;15/09/2022;temporel2022;17.79194444
09T7;F;decoupe;summer;september;15/09/2022;temporel2022;17.79194444
09T8;F;decoupe;summer;september;15/09/2022;temporel2022;17.79194444
09T9;F;decoupe;summer;september;15/09/2022;temporel2022;17.79194444
