Cluster	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV_Genus
Cluster_124	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	Multiaffiliation	_Francisella
Cluster_127	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	unknown species	_Staphylococcus
Cluster_129	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Multiaffiliation	_Corynebacterium
Cluster_130	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_131	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Multiaffiliation	_Corynebacterium
Cluster_139	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Multiaffiliation	_Acinetobacter
Cluster_143	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_145	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Multiaffiliation	_Brevundimonas
Cluster_148	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_152	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_155	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	Multiaffiliation	_Francisella
Cluster_161	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_165	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia montanensis	_Rickettsia
Cluster_166	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Caenimonas	metagenome	_Caenimonas
Cluster_176	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_189	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Multiaffiliation	_Sphingomonas
Cluster_191	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_196	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	unknown species	_Staphylococcus
Cluster_200	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	Multiaffiliation	_Francisella
Cluster_202	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_203	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Multiaffiliation	_Staphylococcus
Cluster_211	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	Multiaffiliation	_Francisella
Cluster_221	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	MaffASVComamonadaceaefamily	Multiaffiliation	_MaffASVComamonadaceaefamily
Cluster_224	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_227	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_353	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Multiaffiliation	_Staphylococcus
